Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
65,25,Aas S,8,15,2,17,-20,93,79,1.17721518987,24,0,0.548611111111,113,88,1.28409090909,29,0.697916666667,-5,0.548611111111,1.24652777778,0.697916666667,1,1,8,14,B Memorial,20,Memorial,WestJ
65,25,AastorpH,10,14,1,20,-32,118,91,1.2967032967,26,0,0.631944444444,150,109,1.37614678899,16,0.728813559322,10,0.631944444444,1.36075800377,0.728813559322,2,1,7,3,A Meridian,21,Meridian,AastorpH
65,25,AbbottD,13,7,5,31,23,171,117,1.46153846154,31,0,0.78,148,104,1.42307692308,34,0.595238095238,-3,0.78,1.37523809524,0.595238095238,1,0,16,7,A Midland,4,Midland,DeTuraM
65,25,AbdalianA,14,9,2,30,27,106,79,1.3417721519,39,0,0.526666666667,79,74,1.06756756757,12,0.863636363636,27,0.526666666667,1.3903030303,0.863636363636,1,0,13,10,C Midland,4,Midland,KushnerAB
65,25,AbelM,9,13,3,21,-4,55,43,1.27906976744,33,0,0.286666666667,59,39,1.51282051282,38,0.493333333333,-5,0.286666666667,0.78,0.493333333333,3,0,3,7,E Meridian Div 1,19,Meridian,AastorpH
65,25,AcedoS,11,14,0,20,-14,74,63,1.1746031746,25,0,0.45652173913,88,71,1.23943661972,33,0.679611650485,-8,0.45652173913,1.13613338962,0.679611650485,1,2,6,17,D Coastal Div 1,21,Coastal,HalpinM
65,25,AdamsAJH,11,9,5,24,15,96,69,1.39130434783,40,0,0.522727272727,81,61,1.32786885246,30,0.62962962963,10,0.522727272727,1.15235690236,0.62962962963,0,3,7,14,R Skyline Div 2,18,Skyline,DubnerJ
65,25,AdamsE,8,16,1,11,-41,76,63,1.20634920635,22,0,0.552631578947,117,85,1.37647058824,39,0.606060606061,-17,0.552631578947,1.15869218501,0.606060606061,0,6,5,15,C Pacific,32,Pacific,GoodeM
65,25,AdamsMe,9,12,4,13,-18,55,41,1.34146341463,27,0,0.427083333333,73,52,1.40384615385,39,0.556818181818,-12,0.427083333333,0.983901515152,0.556818181818,0,9,3,13,E Coastal Div 3,20,Coastal,GazzolaT
65,25,AddoF,10,11,4,24,3,101,79,1.27848101266,34,0,0.526666666667,98,73,1.34246575342,38,0.616161616162,-4,0.526666666667,1.14282828283,0.616161616162,0,0,8,15,D Horizon Div 1,20,Horizon,RyderM
65,25,AdelmanM,13,8,4,30,19,107,85,1.25882352941,28,0,0.566666666667,88,72,1.22222222222,33,0.688679245283,-5,0.566666666667,1.25534591195,0.688679245283,0,0,9,17,D Skyline Div 2,5,Skyline,PeskinK
65,25,AdelmanP,12,9,4,28,-15,68,53,1.28301886792,34,0,0.353333333333,83,65,1.27692307692,29,0.666666666667,5,0.353333333333,1.02,0.666666666667,1,0,6,18,R Skyline Div 3,14,Skyline,PeskinK
65,25,AdelsonJoshua,11,11,3,25,4,90,66,1.36363636364,37,0,0.44,86,61,1.40983606557,39,0.561797752809,-2,0.44,1.00179775281,0.561797752809,0,0,9,20,R Central Div 2,8,Central,WhitlockS
